Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real,,,,,,,,
2010,1,201001,Sydney,Wagga Wagga,Sydney - Wagga Wagga,230,329.4,,,,,,,,
2010,1,201001,Newcastle,Gold Coast,Newcastle - Gold Coast,130,185.9,,,,,,,,
2010,2,201002,Adelaide,Brisbane,Adelaide - Brisbane,278,397.4,,,,,,,,
2010,2,201002,Adelaide,Canberra,Adelaide - Canberra,274,391.7,,,,,,,,
2010,2,201002,Adelaide,Darwin,Adelaide - Darwin,579,827.8,,,,,,,,
2010,2,201002,Adelaide,Gold Coast,Adelaide - Gold Coast,136,193.9,,,,,,,,
2010,2,201002,Adelaide,Melbourne,Adelaide - Melbourne,82,116.7,,,,,,,,
2010,2,201002,Adelaide,Perth,Adelaide - Perth,368,526.1,,,,,,,,
2010,2,201002,Adelaide,Port Lincoln,Adelaide - Port Lincoln,178,254,,,,,,,,
2010,2,201002,Adelaide,Sydney,Adelaide - Sydney,118,168.1,,,,,,,,
2010,2,201002,Albury,Sydney,Albury - Sydney,138,197.3,,,,,,,,
2010,2,201002,Alice Springs,Darwin,Alice Springs - Darwin,508,726.2,,,,,,,,
2010,2,201002,Alice Springs,Melbourne,Alice Springs - Melbourne,176,251.6,,,,,,,,
2010,2,201002,Alice Springs,Sydney,Alice Springs - Sydney,538,769.1,,,,,,,,
2010,2,201002,Avalon,Brisbane,Avalon - Brisbane,178,254.5,,,,,,,,
2010,2,201002,Avalon,Sydney,Avalon - Sydney,98,140.1,,,,,,,,
2010,2,201002,Ayers Rock,Cairns,Ayers Rock - Cairns,838,1198,,,,,,,,
2010,2,201002,Ayers Rock,Sydney,Ayers Rock - Sydney,818,1169.4,,,,,,,,
2010,2,201002,Ballina,Sydney,Ballina - Sydney,178,254.5,,,,,,,,
2010,2,201002,Brisbane,Cairns,Brisbane - Cairns,208,297.4,,,,,,,,
2010,2,201002,Brisbane,Canberra,Brisbane - Canberra,178,254.5,,,,,,,,
2010,2,201002,Brisbane,Darwin,Brisbane - Darwin,248,354.5,,,,,,,,
2010,2,201002,Brisbane,Emerald,Brisbane - Emerald,369,527.5,,,,,,,,
2010,2,201002,Brisbane,Gladstone,Brisbane - Gladstone,254,363.1,,,,,,,,
2010,2,201002,Brisbane,Hamilton Island,Brisbane - Hamilton Island,158,225.9,,,,,,,,
2010,2,201002,Brisbane,Hobart,Brisbane - Hobart,508,726.2,,,,,,,,
2010,2,201002,Brisbane,Mackay,Brisbane - Mackay,178,254.5,,,,,,,,
2010,2,201002,Brisbane,Melbourne,Brisbane - Melbourne,238,340.3,,,,,,,,
2010,2,201002,Brisbane,Mount Isa,Brisbane - Mount Isa,544,777.7,,,,,,,,
2010,2,201002,Brisbane,Perth,Brisbane - Perth,438,626.2,,,,,,,,
2010,2,201002,Brisbane,Proserpine,Brisbane - Proserpine,158,225.9,,,,,,,,
2010,2,201002,Brisbane,Rockhampton,Brisbane - Rockhampton,87,124.4,,,,,,,,
2010,2,201002,Brisbane,Sydney,Brisbane - Sydney,148,211.6,,,,,,,,
2010,2,201002,Brisbane,Townsville,Brisbane - Townsville,188,268.8,,,,,,,,
2010,2,201002,Brisbane,Newcastle,Brisbane - Newcastle,88,125.8,,,,,,,,
2010,2,201002,Broome,Perth,Broome - Perth,278,397.4,,,,,,,,
2010,2,201002,Bundaberg,Brisbane,Bundaberg - Brisbane,274,391.7,,,,,,,,
2010,2,201002,Cairns,Melbourne,Cairns - Melbourne,378,540.4,,,,,,,,
2010,2,201002,Cairns,Sydney,Cairns - Sydney,358,511.8,,,,,,,,
2010,2,201002,Cairns,Townsville,Cairns - Townsville,118,168.7,,,,,,,,
2010,2,201002,Canberra,Melbourne,Canberra - Melbourne,76,108.7,,,,,,,,
2010,2,201002,Canberra,Sydney,Canberra - Sydney,128,183,,,,,,,,
2010,2,201002,Coffs Harbour,Sydney,Coffs Harbour - Sydney,219,313.1,,,,,,,,
2010,2,201002,Darwin,Melbourne,Darwin - Melbourne,318,454.6,,,,,,,,
2010,2,201002,Darwin,Perth,Darwin - Perth,398,569,,,,,,,,
2010,2,201002,Darwin,Sydney,Darwin - Sydney,438,626.2,,,,,,,,
2010,2,201002,Devonport,Melbourne,Devonport - Melbourne,270,386,,,,,,,,
2010,2,201002,Dubbo,Sydney,Dubbo - Sydney,248,354.5,,,,,,,,
2010,2,201002,Geraldton,Perth,Geraldton - Perth,363,519,,,,,,,,
2010,2,201002,Gold Coast,Sydney,Gold Coast - Sydney,76,108.7,,,,,,,,
2010,2,201002,Hamilton Island,Sydney,Hamilton Island - Sydney,268,383.1,,,,,,,,
2010,2,201002,Hervey Bay,Sydney,Hervey Bay - Sydney,380,543.3,,,,,,,,
2010,2,201002,Hobart,Melbourne,Hobart - Melbourne,66,94.4,,,,,,,,
2010,2,201002,Hobart,Sydney,Hobart - Sydney,208,297.4,,,,,,,,
2010,2,201002,Kalgoorlie,Perth,Kalgoorlie - Perth,355,507.5,,,,,,,,
2010,2,201002,Karratha,Perth,Karratha - Perth,368,526.1,,,,,,,,
2010,2,201002,Launceston,Melbourne,Launceston - Melbourne,103,147.3,,,,,,,,
2010,2,201002,Launceston,Sydney,Launceston - Sydney,210,300.1,,,,,,,,
2010,2,201002,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,196,280.2,,,,,,,,
2010,2,201002,Sunshine Coast,Sydney,Sunshine Coast - Sydney,258,368.8,,,,,,,,
2010,2,201002,Melbourne,Gold Coast,Melbourne - Gold Coast,136,194.4,,,,,,,,
2010,2,201002,Melbourne,Mildura,Melbourne - Mildura,150,214.4,,,,,,,,
2010,2,201002,Melbourne,Perth,Melbourne - Perth,358,511.8,,,,,,,,
2010,2,201002,Melbourne,Sydney,Melbourne - Sydney,66,94.4,,,,,,,,
2010,2,201002,Melbourne,Newcastle,Melbourne - Newcastle,150,214.4,,,,,,,,
2010,2,201002,Paraburdoo,Perth,Paraburdoo - Perth,429,613.3,,,,,,,,
2010,2,201002,Perth,Newman,Perth - Newman,358,511.8,,,,,,,,
2010,2,201002,Perth,Port Hedland,Perth - Port Hedland,328,468.9,,,,,,,,
2010,2,201002,Perth,Sydney,Perth - Sydney,434,620.5,,,,,,,,
2010,2,201002,Port Macquarie,Sydney,Port Macquarie - Sydney,158,225.9,,,,,,,,
2010,2,201002,Sydney,Tamworth,Sydney - Tamworth,225,321.7,,,,,,,,
2010,2,201002,Sydney,Townsville,Sydney - Townsville,248,354.5,,,,,,,,
2010,2,201002,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214,305.9,,,,,,,,
2010,2,201002,Newcastle,Gold Coast,Newcastle - Gold Coast,110,157.3,,,,,,,,
2010,3,201003,Adelaide,Brisbane,Adelaide - Brisbane,238,340.3,,,,,,,,
2010,3,201003,Adelaide,Canberra,Adelaide - Canberra,274,391.7,,,,,,,,
2010,3,201003,Adelaide,Darwin,Adelaide - Darwin,378,540.4,,,,,,,,
2010,3,201003,Adelaide,Gold Coast,Adelaide - Gold Coast,156,223,,,,,,,,
2010,3,201003,Adelaide,Melbourne,Adelaide - Melbourne,86,122.9,,,,,,,,
2010,3,201003,Adelaide,Perth,Adelaide - Perth,358,511.8,,,,,,,,
2010,3,201003,Adelaide,Port Lincoln,Adelaide - Port Lincoln,213,304.3,,,,,,,,
2010,3,201003,Adelaide,Sydney,Adelaide - Sydney,106,151.5,,,,,,,,
2010,3,201003,Albury,Sydney,Albury - Sydney,174,248.8,,,,,,,,
2010,3,201003,Alice Springs,Darwin,Alice Springs - Darwin,428,611.9,,,,,,,,
2010,3,201003,Alice Springs,Melbourne,Alice Springs - Melbourne,226,323.1,,,,,,,,
2010,3,201003,Alice Springs,Sydney,Alice Springs - Sydney,498,712,,,,,,,,
2010,3,201003,Avalon,Brisbane,Avalon - Brisbane,278,397.4,,,,,,,,
2010,3,201003,Avalon,Sydney,Avalon - Sydney,98,140.1,,,,,,,,
2010,3,201003,Ayers Rock,Cairns,Ayers Rock - Cairns,698,997.9,,,,,,,,
2010,3,201003,Ayers Rock,Sydney,Ayers Rock - Sydney,714,1020.8,,,,,,,,
2010,3,201003,Ballina,Sydney,Ballina - Sydney,188,268.8,,,,,,,,
2010,3,201003,Brisbane,Cairns,Brisbane - Cairns,258,368.8,,,,,,,,
2010,3,201003,Brisbane,Canberra,Brisbane - Canberra,193,275.9,,,,,,,,
2010,3,201003,Brisbane,Darwin,Brisbane - Darwin,274,391.7,,,,,,,,
2010,3,201003,Brisbane,Emerald,Brisbane - Emerald,316,451.8,,,,,,,,
2010,3,201003,Brisbane,Gladstone,Brisbane - Gladstone,218,311.7,,,,,,,,
2010,3,201003,Brisbane,Hamilton Island,Brisbane - Hamilton Island,138,197.3,,,,,,,,
2010,3,201003,Brisbane,Hobart,Brisbane - Hobart,608,869.2,,,,,,,,
2010,3,201003,Brisbane,Mackay,Brisbane - Mackay,144,205.9,,,,,,,,
2010,3,201003,Brisbane,Melbourne,Brisbane - Melbourne,228,326,,,,,,,,
2010,3,201003,Brisbane,Mount Isa,Brisbane - Mount Isa,544,777.7,,,,,,,,
2010,3,201003,Brisbane,Perth,Brisbane - Perth,558,797.7,,,,,,,,
2010,3,201003,Brisbane,Proserpine,Brisbane - Proserpine,198,283.1,,,,,,,,
2010,3,201003,Brisbane,Rockhampton,Brisbane - Rockhampton,108,154.4,,,,,,,,
2010,3,201003,Brisbane,Sydney,Brisbane - Sydney,148,211.6,,,,,,,,
2010,3,201003,Brisbane,Townsville,Brisbane - Townsville,298,426,,,,,,,,
2010,3,201003,Brisbane,Newcastle,Brisbane - Newcastle,78,111.5,,,,,,,,
2010,3,201003,Broome,Perth,Broome - Perth,304,434.6,,,,,,,,
2010,3,201003,Bundaberg,Brisbane,Bundaberg - Brisbane,320,457.5,,,,,,,,
2010,3,201003,Cairns,Melbourne,Cairns - Melbourne,358,511.8,,,,,,,,
2010,3,201003,Cairns,Sydney,Cairns - Sydney,338,483.2,,,,,,,,
2010,3,201003,Cairns,Townsville,Cairns - Townsville,158,225.9,,,,,,,,
2010,3,201003,Canberra,Melbourne,Canberra - Melbourne,106,151.5,,,,,,,,
2010,3,201003,Canberra,Sydney,Canberra - Sydney,138,197.3,,,,,,,,
2010,3,201003,Coffs Harbour,Sydney,Coffs Harbour - Sydney,178,254.5,,,,,,,,
2010,3,201003,Darwin,Melbourne,Darwin - Melbourne,398,569,,,,,,,,
2010,3,201003,Darwin,Perth,Darwin - Perth,448,640.5,,,,,,,,
2010,3,201003,Darwin,Sydney,Darwin - Sydney,388,554.7,,,,,,,,
2010,3,201003,Devonport,Melbourne,Devonport - Melbourne,270,386,,,,,,,,
2010,3,201003,Dubbo,Sydney,Dubbo - Sydney,248,354.5,,,,,,,,
2010,3,201003,Geraldton,Perth,Geraldton - Perth,444,634.8,,,,,,,,
2010,3,201003,Gold Coast,Sydney,Gold Coast - Sydney,86,122.9,,,,,,,,
2010,3,201003,Hamilton Island,Sydney,Hamilton Island - Sydney,374,534.7,,,,,,,,
2010,3,201003,Hervey Bay,Sydney,Hervey Bay - Sydney,350,500.4,,,,,,,,
2010,3,201003,Hobart,Melbourne,Hobart - Melbourne,56,80.1,,,,,,,,
2010,3,201003,Hobart,Sydney,Hobart - Sydney,198,283.1,,,,,,,,
2010,3,201003,Kalgoorlie,Perth,Kalgoorlie - Perth,359,513.2,,,,,,,,
2010,3,201003,Karratha,Perth,Karratha - Perth,358,511.8,,,,,,,,
2010,3,201003,Launceston,Melbourne,Launceston - Melbourne,56,80.1,,,,,,,,
2010,3,201003,Launceston,Sydney,Launceston - Sydney,250,357.3,,,,,,,,
2010,3,201003,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,156,223,,,,,,,,
2010,3,201003,Sunshine Coast,Sydney,Sunshine Coast - Sydney,208,297.4,,,,,,,,
2010,3,201003,Melbourne,Gold Coast,Melbourne - Gold Coast,186,265.9,,,,,,,,
2010,3,201003,Melbourne,Mildura,Melbourne - Mildura,198,283.1,,,,,,,,
2010,3,201003,Melbourne,Perth,Melbourne - Perth,376,537.5,,,,,,,,
2010,3,201003,Melbourne,Sydney,Melbourne - Sydney,66,94.4,,,,,,,,
2010,3,201003,Melbourne,Newcastle,Melbourne - Newcastle,158,225.9,,,,,,,,
2010,3,201003,Paraburdoo,Perth,Paraburdoo - Perth,409,584.7,,,,,,,,
2010,3,201003,Perth,Newman,Perth - Newman,348,497.5,,,,,,,,
2010,3,201003,Perth,Port Hedland,Perth - Port Hedland,358,511.8,,,,,,,,
2010,3,201003,Perth,Sydney,Perth - Sydney,478,683.4,,,,,,,,
2010,3,201003,Port Macquarie,Sydney,Port Macquarie - Sydney,158,225.9,,,,,,,,
2010,3,201003,Sydney,Tamworth,Sydney - Tamworth,190,271.6,,,,,,,,
2010,3,201003,Sydney,Townsville,Sydney - Townsville,228,326,,,,,,,,
2010,3,201003,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214,305.9,,,,,,,,
2010,3,201003,Newcastle,Gold Coast,Newcastle - Gold Coast,154,220.2,,,,,,,,
2010,4,201004,Adelaide,Brisbane,Adelaide - Brisbane,198,281.3,,,,,,,,
2010,4,201004,Adelaide,Canberra,Adelaide - Canberra,224,318.2,,,,,,,,
2010,4,201004,Adelaide,Darwin,Adelaide - Darwin,348,494.4,,,,,,,,
2010,4,201004,Adelaide,Gold Coast,Adelaide - Gold Coast,127,180.4,,,,,,,,
2010,4,201004,Adelaide,Melbourne,Adelaide - Melbourne,38,54,,,,,,,,
2010,4,201004,Adelaide,Perth,Adelaide - Perth,298,423.4,,,,,,,,
2010,4,201004,Adelaide,Port Lincoln,Adelaide - Port Lincoln,178,252.5,,,,,,,,
2010,4,201004,Adelaide,Sydney,Adelaide - Sydney,116,164.8,,,,,,,,
2010,4,201004,Albury,Sydney,Albury - Sydney,118,167.6,,,,,,,,
2010,4,201004,Alice Springs,Darwin,Alice Springs - Darwin,508,721.7,,,,,,,,
2010,4,201004,Alice Springs,Melbourne,Alice Springs - Melbourne,186,264.2,,,,,,,,
2010,4,201004,Alice Springs,Sydney,Alice Springs - Sydney,538,764.3,,,,,,,,
2010,4,201004,Avalon,Brisbane,Avalon - Brisbane,198,281.3,,,,,,,,
2010,4,201004,Avalon,Sydney,Avalon - Sydney,78,110.8,,,,,,,,
2010,4,201004,Ayers Rock,Cairns,Ayers Rock - Cairns,808,1147.9,,,,,,,,
2010,4,201004,Ayers Rock,Sydney,Ayers Rock - Sydney,638,906.4,,,,,,,,
2010,4,201004,Ballina,Sydney,Ballina - Sydney,158,224.5,,,,,,,,
2010,4,201004,Brisbane,Cairns,Brisbane - Cairns,218,309.7,,,,,,,,
2010,4,201004,Brisbane,Canberra,Brisbane - Canberra,198,281.3,,,,,,,,
2010,4,201004,Brisbane,Darwin,Brisbane - Darwin,258,366.5,,,,,,,,
2010,4,201004,Brisbane,Emerald,Brisbane - Emerald,246,349.5,,,,,,,,
2010,4,201004,Brisbane,Gladstone,Brisbane - Gladstone,182,258.6,,,,,,,,
2010,4,201004,Brisbane,Hamilton Island,Brisbane - Hamilton Island,138,196.1,,,,,,,,
2010,4,201004,Brisbane,Hobart,Brisbane - Hobart,358,508.6,,,,,,,,
2010,4,201004,Brisbane,Mackay,Brisbane - Mackay,149,211.6,,,,,,,,
2010,4,201004,Brisbane,Melbourne,Brisbane - Melbourne,158,224.5,,,,,,,,
2010,4,201004,Brisbane,Mount Isa,Brisbane - Mount Isa,544,772.8,,,,,,,,
2010,4,201004,Brisbane,Perth,Brisbane - Perth,404,573.9,,,,,,,,
2010,4,201004,Brisbane,Proserpine,Brisbane - Proserpine,138,196.1,,,,,,,,
2010,4,201004,Brisbane,Rockhampton,Brisbane - Rockhampton,88,125,,,,,,,,
2010,4,201004,Brisbane,Sydney,Brisbane - Sydney,138,196.1,,,,,,,,
2010,4,201004,Brisbane,Townsville,Brisbane - Townsville,148,210.3,,,,,,,,
2010,4,201004,Brisbane,Newcastle,Brisbane - Newcastle,78,110.8,,,,,,,,
2010,4,201004,Broome,Perth,Broome - Perth,298,423.4,,,,,,,,
2010,4,201004,Bundaberg,Brisbane,Bundaberg - Brisbane,170,241.5,,,,,,,,
2010,4,201004,Cairns,Melbourne,Cairns - Melbourne,379,538.4,,,,,,,,
2010,4,201004,Cairns,Sydney,Cairns - Sydney,258,366.5,,,,,,,,
2010,4,201004,Cairns,Townsville,Cairns - Townsville,98,139.2,,,,,,,,
2010,4,201004,Canberra,Melbourne,Canberra - Melbourne,57,81,,,,,,,,
2010,4,201004,Canberra,Sydney,Canberra - Sydney,98,139.2,,,,,,,,
2010,4,201004,Coffs Harbour,Sydney,Coffs Harbour - Sydney,148,210.3,,,,,,,,
2010,4,201004,Darwin,Melbourne,Darwin - Melbourne,328,466,,,,,,,,
2010,4,201004,Darwin,Perth,Darwin - Perth,298,423.4,,,,,,,,
2010,4,201004,Darwin,Sydney,Darwin - Sydney,438,622.3,,,,,,,,
2010,4,201004,Devonport,Melbourne,Devonport - Melbourne,198,281.3,,,,,,,,
2010,4,201004,Dubbo,Sydney,Dubbo - Sydney,247,351.2,,,,,,,,
2010,4,201004,Geraldton,Perth,Geraldton - Perth,277,393.5,,,,,,,,
2010,4,201004,Gold Coast,Sydney,Gold Coast - Sydney,57,81,,,,,,,,
2010,4,201004,Hamilton Island,Sydney,Hamilton Island - Sydney,238,338.1,,,,,,,,
2010,4,201004,Hervey Bay,Sydney,Hervey Bay - Sydney,230,326.8,,,,,,,,
2010,4,201004,Hobart,Melbourne,Hobart - Melbourne,56,79.6,,,,,,,,
2010,4,201004,Hobart,Sydney,Hobart - Sydney,178,252.9,,,,,,,,
2010,4,201004,Kalgoorlie,Perth,Kalgoorlie - Perth,359,510,,,,,,,,
2010,4,201004,Karratha,Perth,Karratha - Perth,398,565.4,,,,,,,,
2010,4,201004,Launceston,Melbourne,Launceston - Melbourne,47,66.8,,,,,,,,
2010,4,201004,Launceston,Sydney,Launceston - Sydney,174,247.2,,,,,,,,
2010,4,201004,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,137,194.6,,,,,,,,
2010,4,201004,Sunshine Coast,Sydney,Sunshine Coast - Sydney,138,196.1,,,,,,,,
2010,4,201004,Melbourne,Gold Coast,Melbourne - Gold Coast,117,166.2,,,,,,,,
2010,4,201004,Melbourne,Mildura,Melbourne - Mildura,178,252.9,,,,,,,,
2010,4,201004,Melbourne,Perth,Melbourne - Perth,296,420.5,,,,,,,,
2010,4,201004,Melbourne,Sydney,Melbourne - Sydney,57,81,,,,,,,,
2010,4,201004,Melbourne,Newcastle,Melbourne - Newcastle,108,153.4,,,,,,,,
2010,4,201004,Paraburdoo,Perth,Paraburdoo - Perth,429,609.5,,,,,,,,
2010,4,201004,Perth,Newman,Perth - Newman,368,522.8,,,,,,,,
2010,4,201004,Perth,Port Hedland,Perth - Port Hedland,298,423.4,,,,,,,,
2010,4,201004,Perth,Sydney,Perth - Sydney,388,551.2,,,,,,,,
2010,4,201004,Port Macquarie,Sydney,Port Macquarie - Sydney,118,167.6,,,,,,,,
2010,4,201004,Sydney,Tamworth,Sydney - Tamworth,190,269.9,,,,,,,,
2010,4,201004,Sydney,Townsville,Sydney - Townsville,238,338.1,,,,,,,,
2010,4,201004,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214,303.9,,,,,,,,
2010,4,201004,Newcastle,Gold Coast,Newcastle - Gold Coast,148,210.3,,,,,,,,
2010,5,201005,Adelaide,Alice Springs,Adelaide - Alice Springs,318,451.8,,,,,,,,
2010,5,201005,Adelaide,Brisbane,Adelaide - Brisbane,96,136.4,,,,,,,,
2010,5,201005,Adelaide,Canberra,Adelaide - Canberra,278,394.9,,,,,,,,
2010,5,201005,Adelaide,Darwin,Adelaide - Darwin,379,538.4,,,,,,,,
2010,5,201005,Adelaide,Gold Coast,Adelaide - Gold Coast,96,136.4,,,,,,,,
2010,5,201005,Adelaide,Melbourne,Adelaide - Melbourne,56,79.6,,,,,,,,
2010,5,201005,Adelaide,Perth,Adelaide - Perth,298,423.4,,,,,,,,
2010,5,201005,Adelaide,Port Lincoln,Adelaide - Port Lincoln,178,252.4,,,,,,,,
2010,5,201005,Adelaide,Sydney,Adelaide - Sydney,76,108,,,,,,,,
2010,5,201005,Albury,Sydney,Albury - Sydney,150,213.1,,,,,,,,
2010,5,201005,Alice Springs,Darwin,Alice Springs - Darwin,568,806.9,,,,,,,,
2010,5,201005,Alice Springs,Melbourne,Alice Springs - Melbourne,206,292.7,,,,,,,,
2010,5,201005,Alice Springs,Sydney,Alice Springs - Sydney,658,934.8,,,,,,,,
2010,5,201005,Avalon,Brisbane,Avalon - Brisbane,188,267.1,,,,,,,,
2010,5,201005,Avalon,Sydney,Avalon - Sydney,78,110.8,,,,,,,,
2010,5,201005,Ayers Rock,Cairns,Ayers Rock - Cairns,698,991.6,,,,,,,,
2010,5,201005,Ayers Rock,Sydney,Ayers Rock - Sydney,527,748.7,,,,,,,,
2010,5,201005,Ballina,Sydney,Ballina - Sydney,198,281.3,,,,,,,,
2010,5,201005,Brisbane,Cairns,Brisbane - Cairns,208,295.5,,,,,,,,
2010,5,201005,Brisbane,Canberra,Brisbane - Canberra,219,311.1,,,,,,,,
2010,5,201005,Brisbane,Darwin,Brisbane - Darwin,398,565.4,,,,,,,,
2010,5,201005,Brisbane,Emerald,Brisbane - Emerald,246,349.5,,,,,,,,
2010,5,201005,Brisbane,Gladstone,Brisbane - Gladstone,182,258.6,,,,,,,,
